all: b'\x00\x00\x00'
...BCS says: c1e98f
....BCS says: 5200005ffffffe
....BCS says: 5200015ffffffe
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 311.0	Amps: -17.4	Watts: -5411
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.3	Amps: -17.4	Watts: -5416
..........Volts: 311.3	Amps: -17.4	Watts: -5416
..........Volts: 311.5	Amps: -17.4	Watts: -5420
..........Volts: 311.1	Amps: -17.4	Watts: -5413
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.4	Amps: -17.3	Watts: -5387
..........Volts: 311.4	Amps: -17.4	Watts: -5418
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 310.9	Amps: -17.3	Watts: -5378
..........Volts: 311.4	Amps: -17.4	Watts: -5418
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.4	Amps: -17.3	Watts: -5387
.........Volts: 311.6	Amps: -17.4	Watts: -5421
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.1	Amps: -17.3	Watts: -5382
...........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 308.5	Amps: -17.3	Watts: -5337
..........Volts: 308.5	Amps: 0.0	Watts: 0
..........Volts: 308.5	Amps: 0.0	Watts: 0
..........Volts: 308.3	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
